,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
375,Benguela,3,AO,1600737980,86,-12.58,13.41,70.25,2.39
376,Mayen,0,DE,1600737981,51,50.33,7.22,60.8,2.24
377,Delaware,1,US,1600737782,71,39.0,-75.5,53.6,6.93
378,Campanario,100,ES,1600737983,47,38.86,-5.62,65.19,3.09
379,Jurbarkas,0,LT,1600737985,82,55.08,22.77,50.18,6.35
380,Elumalai,75,IN,1600737986,74,9.87,77.7,78.8,6.93
381,Tabory,97,RU,1600737987,93,58.52,64.55,36.77,5.86
382,Tsimmerbude,0,RU,1600737918,93,54.67,20.13,50.0,4.47
383,Mayo,1,US,1600737989,93,38.89,-76.51,57.2,7.87
384,Jieshou,100,CN,1600737990,85,33.26,115.36,64.29,4.85
385,Poso,9,ID,1600737969,59,-1.4,120.75,86.34,2.93
386,Port Hardy,40,CA,1600737993,82,50.7,-127.42,57.2,3.36
387,Superior,1,US,1600737900,77,46.72,-92.1,69.01,5.82
388,Sibut,100,CF,1600737995,96,5.72,19.07,70.7,5.66
389,Nālūt,79,LY,1600737996,29,30.33,10.85,77.2,13.27
390,Kenai,90,US,1600737997,62,60.55,-151.26,57.2,18.34
391,Kensington,0,AU,1600737998,23,-33.92,151.22,77.0,17.22
392,Rāyadrug,100,IN,1600738000,83,14.7,76.87,72.97,19.57
393,Zanjān,0,IR,1600738001,67,36.67,48.48,56.61,4.72
394,Desbiens,20,CA,1600738002,62,48.42,-71.95,53.6,12.75
395,Beira,40,MZ,1600738004,84,-19.84,34.84,74.39,14.41
396,Uglovoye,0,UA,1600738005,56,44.82,33.6,58.6,9.8
397,Mareeba,50,AU,1600738007,62,-17.0,145.43,86.0,4.0
398,Erdenet,0,MN,1600738008,62,49.03,104.08,47.93,3.65
399,Nizhneangarsk,0,RU,1600738009,59,55.78,109.55,45.07,8.61
400,Det Udom,40,TH,1600738010,94,14.91,105.08,82.4,4.7
401,Laguna,1,US,1600738011,23,38.42,-121.42,89.6,6.93
402,Golden,75,US,1600737877,20,39.76,-105.22,77.0,4.7
403,Peterhead,100,GB,1600738014,87,57.51,-1.8,54.0,2.24
